Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Mike Trout,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Ozzie Albies,o0.5 Hits,0,ATL,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Josh Jung,o0.5 Hits,0,TEX,DET,0,0,0,0,0,0,Available,1,26,0.13333333333333333,32
Colt Keith,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Sean Burke,o2.5 Strikeouts,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Riley Greene,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Troy Johnston,o0.5 Hits + Runs + RBIs,0,COL,ATL,0,0,0,0,0,0,Available,1,6,0.8,32
Troy Johnston,o0.5 Hits,0,COL,ATL,0,0,0,0,0,0,Available,1,6,0.8,32
Miguel Andujar,o0.5 Hits,0,SD,CHW,0,0,0,0,0,0,Available,1,14,0.5333333333333333,32
Miguel Andujar,o0.5 Hits + Runs + RBIs,0,SD,CHW,0,0,0,0,0,0,Available,1,14,0.5333333333333333,32
Colson Montgomery,o0.5 Hits + Runs + RBIs,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Josh Jung,o1.5 Hits + Runs + RBIs,0,TEX,DET,0,0,0,0,0,0,Available,1,26,0.13333333333333333,32
Jorge Soler,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Kevin McGonigle,o0.5 Hits,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Colt Keith,o0.5 Hits,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Matt Olson,o1.5 Hits + Runs + RBIs,0,ATL,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Jo Adell,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Chase Meidroth,o0.5 Hits,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Riley Greene,o0.5 Hits,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Ozzie Albies,o1.5 Hits + Runs + RBIs,0,ATL,COL,0,0,0,0,0,0,Available,1,17,0.43333333333333335,32
Mark Vientos,o0.5 Hits + Runs + RBIs,0,NYM,LAA,0,0,0,0,0,0,Available,1,19,0.36666666666666664,32
Colt Keith,o0.5 Singles,0,DET,TEX,0,0,0,0,0,0,Available,1,15,0.5,32
Riley Greene,o0.5 Runs,0,DET,TEX,0,0,0,0,0,0,Available,1,15,0.5,32
Riley Greene,o1.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Nolan McLean,o6.5 Strikeouts,0,NYM,LAA,0,0,0,0,0,0,Available,1,19,0.36666666666666664,32
Zach Neto,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Juan Soto,o0.5 Singles,0,NYM,LAA,0,0,0,0,0,0,Available,1,15,0.5,32
TJ Rumfield,o0.5 Hits + Runs + RBIs,0,COL,ATL,0,0,0,0,0,0,Available,1,6,0.8,32
Manny Machado,o0.5 Hits + Runs + RBIs,0,SD,CHW,0,0,0,0,0,0,Available,1,14,0.5333333333333333,32
Jo Adell,o0.5 Singles,0,LAA,NYM,0,0,0,0,0,0,Available,1,15,0.5,32
Nolan Schanuel,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Kevin McGonigle,o1.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
TJ Rumfield,o0.5 Hits,0,COL,ATL,0,0,0,0,0,0,Available,1,6,0.8,32
Alejandro Osuna,o0.5 Hits + Runs + RBIs,0,TEX,DET,0,0,0,0,0,0,Available,1,26,0.13333333333333333,32
Marcus Semien,o0.5 Hits + Runs + RBIs,0,NYM,LAA,0,0,0,0,0,0,Available,1,19,0.36666666666666664,32
Ozzie Albies,o0.5 Singles,0,ATL,COL,0,0,0,0,0,0,Available,1,15,0.5,32
Miguel Andujar,o0.5 Singles,0,SD,CHW,0,0,0,0,0,0,Available,1,15,0.5,32
Riley Greene,o0.5 Singles,0,DET,TEX,0,0,0,0,0,0,Available,1,15,0.5,32
Spencer Torkelson,o0.5 Hits,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Spencer Torkelson,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Troy Johnston,o1.5 Hits + Runs + RBIs,0,COL,ATL,0,0,0,0,0,0,Available,1,6,0.8,32
Josh Jung,o1.5 Total Bases,0,TEX,DET,0,0,0,0,0,0,Available,1,15,0.5,32
Josh Jung,o0.5 Singles,0,TEX,DET,0,0,0,0,0,0,Available,1,15,0.5,32
Oswald Peraza,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Sean Burke,o3.5 Strikeouts,0,CWS,,0,0,0,0,0,0,Available,1,15,0.5,32
Spencer Torkelson,o1.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Wenceel Perez,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Riley Greene,o1.5 Total Bases,0,DET,TEX,0,0,0,0,0,0,Available,1,15,0.5,32
Bo Bichette,o0.5 Runs,0,NYM,LAA,0,0,0,0,0,0,Available,1,15,0.5,32
Gleyber Torres,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Dillon Dingler,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Mike Trout,o0.5 Runs,0,LAA,NYM,0,0,0,0,0,0,Available,1,15,0.5,32
Vaughn Grissom,o0.5 Hits + Runs + RBIs,0,LAA,NYM,0,0,0,0,0,0,Available,1,22,0.26666666666666666,32
Corey Seager,o0.5 Hits + Runs + RBIs,0,TEX,DET,0,0,0,0,0,0,Available,1,26,0.13333333333333333,32
Luis Campusano,o1.5 Hits + Runs + RBIs,0,SD,CHW,0,0,0,0,0,0,Available,1,14,0.5333333333333333,32
Kerry Carpenter,o0.5 Hits + Runs + RBIs,0,DET,TEX,0,0,0,0,0,0,Available,1,24,0.2,32
Kevin McGonigle,o0.5 Singles,0,DET,TEX,0,0,0,0,0,0,Available,1,15,0.5,32
Fernando Tatis Jr.,o1.5 Hits + Runs + RBIs,0,SD,CHW,0,0,0,0,0,0,Available,1,14,0.5333333333333333,32
