Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Nick Suzuki,o0.5 Points,0,MTL,TB,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Jake Guentzel,o0.5 Points,0,TB,MTL,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Lane Hutson,o0.5 Points,0,MTL,TB,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Jack Eichel,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Alex Tuch,o0.5 Points,0,BUF,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Dylan Guenther,o0.5 Points,0,UTA,VGK,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Clayton Keller,o0.5 Points,0,UTA,VGK,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Mark Stone,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Nick Suzuki,o0.5 Assists,0,MTL,TB,0.0004,0.0004,0.0004,0,5,1,Available,1,21,0.34375,80000
Mitch Marner,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Rasmus Dahlin,o0.5 Points,0,BUF,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Brandon Hagel,o0.5 Points,0,TB,MTL,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Joshua Norris,o0.5 Points,0,BUF,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Clayton Keller,o0.5 Assists,0,UTA,VGK,0.0004,0.0004,0.0004,0,5,1,Available,1,25,0.21875,80000
Lawson Crouse,o0.5 Points,0,UTA,VGK,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Alex Tuch,o0.5 Goals,0,BUF,BOS,0.0003,0.0003,0.0003,0,5,1,Available,1,1,0.96875,106667
David Pastrnak,o0.5 Points,0,BOS,BUF,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Cole Caufield,o0.5 Points,0,MTL,TB,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Nikita Kucherov,o0.5 Assists,0,TB,MTL,0.0004,0.0004,0.0004,0,5,1,Available,1,17,0.46875,80000
Pavel Zacha,o0.5 Points,0,BOS,BUF,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Lane Hutson,o0.5 Assists,0,MTL,TB,0.0004,0.0004,0.0004,0,5,1,Available,1,21,0.34375,80000
Jack Eichel,o0.5 Assists,0,VGK,UTA,0.0004,0.0004,0.0004,0,5,1,Available,1,29,0.09375,80000
Mitch Marner,o0.5 Assists,0,VGK,UTA,0.0004,0.0004,0.0004,0,5,1,Available,1,29,0.09375,80000
Jake Guentzel,o0.5 Assists,0,TB,MTL,0.0004,0.0004,0.0004,0,5,1,Available,1,17,0.46875,80000
Owen Power,o0.5 Points,0,BUF,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Owen Power,o0.5 Assists,0,BUF,BOS,0.0004,0.0004,0.0004,0,5,1,Available,1,1,0.96875,80000
Tage Thompson,o0.5 Points,0,BUF,BOS,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
David Pastrnak,o0.5 Assists,0,BOS,BUF,0.0004,0.0004,0.0004,0,5,1,Available,1,20,0.375,80000
Juraj Slafkovský,o0.5 Points,0,MTL,TB,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Morgan Geekie,o0.5 Points,0,BOS,BUF,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Nick Schmaltz,o0.5 Points,0,UTA,VGK,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Darren Raddysh,o0.5 Points,0,TB,MTL,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Pavel Dorofeyev,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Mikhail Sergachev,o0.5 Points,0,UTA,VGK,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Tomas Hertl,o0.5 Points,0,VGK,UTA,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
Logan Cooley,o0.5 Points,0,UTA,VGK,NaN,NaN,NaN,NaN,NaN,1,Available,1,15,0.5,32
