Name,Prop,Line,Team,Opponent,Per_Min_L5,Per_Min_Avg,Variance,Confidence%,Matchup Scalar,Samples
Jaxson Hayes,u3.5 Rebounds,,LAL,,3.00,3.10,2.10,5.0,0.99,5
Deandre Ayton,u7.5 Rebounds,,LAL,,1.80,3.40,2.10,5.0,0.84,5
Shai Gilgeous-Alexander,u39.5 Pts + Reb + Ast,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Chet Holmgren,u25.5 Pts + Reb + Ast,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Chet Holmgren,u26.5 Pts + Reb + Ast,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Chet Holmgren,u8.5 Rebounds,,OKC,,9.60,8.70,2.10,5.0,1.05,5
Isaiah Hartenstein,u17.5 Points + Rebounds,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Jaxson Hayes,u5.5 Points,,LAL,,3.00,3.10,4.20,5.0,0.99,5
Luguentz Dort,u9.5 Points + Rebounds,,OKC,,2.20,2.10,2.00,5.0,1.01,5
Deandre Ayton,u6.5 Rebounds,,LAL,,1.80,3.40,2.10,5.0,0.84,5
Isaiah Hartenstein,u19.5 Pts + Reb + Ast,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Isaiah Hartenstein,u10.5 Rebounds + Assists,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Cason Wallace,u0.5 Q1 Points,,OKC,,1.00,1.30,2.00,5.0,0.97,5
Shai Gilgeous-Alexander,u29.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Shai Gilgeous-Alexander,u28.5 Points,,OKC,,1.40,1.50,4.20,5.0,1.00,5
Isaiah Hartenstein,u18.5 Pts + Reb + Ast,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Jaylin Williams,u3.5 Points,,OKC,,4.20,4.00,4.20,5.0,1.01,5
Jake LaRavia,u6.5 Points + Rebounds,,LAL,,3.40,4.50,2.00,5.0,0.90,5
Luguentz Dort,u1.5 Rebounds,,OKC,,2.20,2.10,2.10,5.0,1.01,5
LeBron James,u29.5 Points + Rebounds,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Luke Kennard,u2.5 Assists,,LAL,,1.00,1.30,1.90,5.0,0.97,5
LeBron James,u1.5 Steals,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Alex Caruso,u3.5 Rebounds,,OKC,,7.60,6.40,2.10,5.0,1.08,5
LeBron James,u28.5 Points + Rebounds,,LAL,,1.60,1.50,2.00,5.0,1.01,5
Rui Hachimura,u3.5 Rebounds,,LAL,,3.00,2.50,2.10,5.0,1.06,5
Luke Kennard,u9.5 Points,,LAL,,1.00,1.30,4.20,5.0,1.00,5
Marcus Smart,u1.5 Steals,,LAL,,2.40,1.50,2.00,5.0,1.10,5
Alex Caruso,u2.5 Rebounds,,OKC,,7.60,6.40,2.10,5.0,1.08,5
LeBron James,u6.5 Rebounds,,LAL,,1.60,1.50,2.10,5.0,1.01,5
Luke Kennard,u2.5 Rebounds,,LAL,,1.00,1.30,2.10,5.0,0.98,5
LeBron James,u7.5 Assists,,LAL,,1.60,1.50,1.90,5.0,1.01,5
Chet Holmgren,u5.5 Q1 Points,,OKC,,9.60,8.70,2.00,5.0,1.05,5
Luke Kennard,u12.5 Pts + Reb + Ast,,LAL,,1.00,1.30,2.00,5.0,0.97,5
Marcus Smart,u13.5 Points + Assists,,LAL,,2.40,1.50,2.00,5.0,1.10,5
Marcus Smart,u12.5 Points + Rebounds,,LAL,,2.40,1.50,2.00,5.0,1.10,5
Luke Kennard,u10.5 Points + Rebounds,,LAL,,1.00,1.30,2.00,5.0,0.97,5
Austin Reaves,u27.5 Points + Assists,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Luguentz Dort,u7.5 Points,,OKC,,2.20,2.10,4.20,5.0,1.00,5
Luke Kennard,u8.5 Points,,LAL,,1.00,1.30,4.20,5.0,1.00,5
Shai Gilgeous-Alexander,u10.5 Rebounds + Assists,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Shai Gilgeous-Alexander,u1.5 Three Pointers,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Deandre Ayton,u19.5 Points + Rebounds,,LAL,,1.80,3.40,2.00,5.0,0.83,5
Austin Reaves,u26.5 Points + Assists,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Luke Kennard,u9.5 Points + Assists,,LAL,,1.00,1.30,2.00,5.0,0.97,5
Alex Caruso,u5.5 Points,,OKC,,7.60,6.40,4.20,5.0,1.06,5
Austin Reaves,u30.5 Pts + Reb + Ast,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Austin Reaves,u25.5 Points + Assists,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Deandre Ayton,u18.5 Points + Rebounds,,LAL,,1.80,3.40,2.00,5.0,0.83,5
Austin Reaves,u29.5 Pts + Reb + Ast,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Austin Reaves,u24.5 Points + Assists,,LAL,,18.00,20.90,2.00,5.0,0.93,5
Austin Reaves,u24.5 Points + Rebounds,,LAL,,18.00,20.90,2.00,5.0,0.93,5
