Name,Prop,Line,Team,Opponent,Per_Min_L5,Per_Min_Avg,Variance,Confidence%,Matchup Scalar,Samples
Martin Necas,u0.5 Goals,,COL,,0.48,0.20,0.35,5.0,1.09,1
Kirill Kaprizov,u0.5 Goals,,MIN,,0.20,0.40,0.35,5.0,0.86,5
Nathan MacKinnon,u0.5 Goals,,COL,,0.60,0.50,0.35,5.0,1.06,5
Matt Boldy,u0.5 Goals,,MIN,,0.80,0.70,0.35,5.0,1.05,5
