Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Logan Stankoven,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Taylor Hall,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jackson Blake,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Taylor Hall,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Sebastian Aho,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
K'Andre Miller,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Logan Stankoven,o0.5 Goals,0,CAR,PHI,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.53125,106667
Travis Konecny,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Trevor Zegras,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Nikolaj Ehlers,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Andrei Svechnikov,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jackson Blake,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Christian Dvorak,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Trevor Zegras,o0.5 Assists,0,PHI,CAR,0.0004,0.0004,0.0004,0,5,1,Available,1,2,0.9375,80000
Travis Konecny,o0.5 Assists,0,PHI,CAR,0.0004,0.0004,0.0004,0,5,1,Available,1,2,0.9375,80000
Matvei Michkov,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Noah Cates,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Nikolaj Ehlers,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
K'Andre Miller,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Denver Barkey,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Andrei Svechnikov,o0.5 Goals,0,CAR,PHI,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.53125,106667
Noah Cates,o0.5 Assists,0,PHI,CAR,0.0004,0.0004,0.0004,0,5,1,Available,1,2,0.9375,80000
Logan Stankoven,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Taylor Hall,o0.5 Goals,0,CAR,PHI,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.53125,106667
Jordan Staal,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Christian Dvorak,o0.5 Assists,0,PHI,CAR,0.0004,0.0004,0.0004,0,5,1,Available,1,2,0.9375,80000
Jamie Drysdale,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Sebastian Aho,o0.5 Goals,0,CAR,PHI,0.0003,0.0003,0.0003,0,5,1,Available,1,15,0.53125,106667
Matvei Michkov,o0.5 Assists,0,PHI,CAR,0.0004,0.0004,0.0004,0,5,1,Available,1,2,0.9375,80000
Rasmus Ristolainen,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jordan Staal,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Jaccob Slavin,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Seth Jarvis,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Owen Tippett,o0.5 Points,0,PHI,CAR,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Seth Jarvis,o0.5 Assists,0,CAR,PHI,0.0004,0.0004,0.0004,0,5,1,Available,1,15,0.53125,80000
Alexander Nikishin,o0.5 Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Andrei Svechnikov,o0.5 Powerplay Points,0,CAR,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
