Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Bobby Witt Jr.,o0.5 Hits,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Noah Cameron,o3.5 Strikeouts,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Carlos Cortes,o0.5 Hits + Runs + RBIs,0,ATH,KC,0,0,0,0,0,0,Available,1,28,0.06666666666666667,32
Byron Buxton,o0.5 Hits + Runs + RBIs,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Byron Buxton,o0.5 Hits,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Carlos Cortes,o0.5 Hits,0,ATH,KC,0,0,0,0,0,0,Available,1,28,0.06666666666666667,32
Ernie Clement,o0.5 Hits,0,TOR,BOS,0,0,0,0,0,0,Available,1,15,0.5,32
Ernie Clement,o0.5 Hits + Runs + RBIs,0,TOR,BOS,0,0,0,0,0,0,Available,1,15,0.5,32
Heliot Ramos,o0.5 Hits,0,SF,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Heliot Ramos,o0.5 Hits + Runs + RBIs,0,SF,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Ryan Jeffers,o0.5 Hits + Runs + RBIs,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Matt Chapman,o0.5 Hits + Runs + RBIs,0,SF,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Bryce Harper,o0.5 Hits,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Nick Kurtz,o0.5 Hits + Runs + RBIs,0,ATH,KC,0,0,0,0,0,0,Available,1,28,0.06666666666666667,32
Casey Schmitt,o0.5 Hits + Runs + RBIs,0,SF,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Trevor Larnach,o0.5 Hits + Runs + RBIs,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Carter Jensen,o0.5 Hits + Runs + RBIs,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Noah Cameron,o4.5 Strikeouts,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Adolis Garcia,o0.5 Hits + Runs + RBIs,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Trevor Larnach,o0.5 Hits,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Adolis Garcia,o0.5 Hits,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Carlos Cortes,o1.5 Total Bases,0,ATH,KC,0,0,0,0,0,0,Available,1,15,0.5,32
Garrett Stubbs,o0.5 Hits + Runs + RBIs,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Adrian Houser,o2.5 Strikeouts,0,SF,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Vladimir Guerrero Jr.,o0.5 Hits,0,TOR,BOS,0,0,0,0,0,0,Available,1,15,0.5,32
Vladimir Guerrero Jr.,o0.5 Singles,0,TOR,BOS,0,0,0,0,0,0,Available,1,15,0.5,32
Luis Arraez,o0.5 Hits,0,SF,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
Jesus Sanchez,o0.5 Hits + Runs + RBIs,0,TOR,BOS,0,0,0,0,0,0,Available,1,15,0.5,32
Brooks Lee,o0.5 Hits + Runs + RBIs,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Nick Loftin,o0.5 Hits + Runs + RBIs,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Luke Keaschall,o0.5 Hits + Runs + RBIs,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Jesus Sanchez,o0.5 Hits,0,TOR,BOS,0,0,0,0,0,0,Available,1,15,0.5,32
Royce Lewis,o0.5 Hits + Runs + RBIs,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Daulton Varsho,o0.5 Hits + Runs + RBIs,0,TOR,BOS,0,0,0,0,0,0,Available,1,15,0.5,32
Luke Keaschall,o0.5 Hits,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Shea Langeliers,o1.5 Hits + Runs + RBIs,0,ATH,KC,0,0,0,0,0,0,Available,1,28,0.06666666666666667,32
Ryan Jeffers,o0.5 Hits,0,MIN,SEA,0,0,0,0,0,0,Available,1,16,0.4666666666666667,32
Starling Marte,o0.5 Hits + Runs + RBIs,0,KC,ATH,0,0,0,0,0,0,Available,1,15,0.5,32
Bryson Stott,o0.5 Hits,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Bryson Stott,o0.5 Hits + Runs + RBIs,0,PHI,SF,0,0,0,0,0,0,Available,1,9,0.7,32
Casey Schmitt,o0.5 Hits,0,SF,PHI,0,0,0,0,0,0,Available,1,7,0.7666666666666667,32
