Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Keldon Johnson,o9.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Tyrese Maxey,o19.5 Points,0,PHI,NY,0.64,0.64,0.64,0,33.5,1,Available,1,15,0.5,50
Keldon Johnson,o9.5 Points + Rebounds,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Tyrese Maxey,o20.5 Points,0,PHI,NY,0.64,0.64,0.64,0,33.5,1,Available,1,15,0.5,50
Julius Randle,o24.5 Pts + Reb + Ast,0,MIN,SA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Julius Randle,o14.5 Points,0,MIN,SA,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jaden McDaniels,o14.5 Points + Rebounds,0,MIN,SA,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o33.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Joel Embiid,o34.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Joel Embiid,o35.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Karl-Anthony Towns,o19.5 Points + Assists,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o8.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o11.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Tyrese Maxey,o29.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Dylan Harper,o11.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o12.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o13.5 Points + Rebounds,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Tyrese Maxey,o26.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Luke Kornet,o4.5 Rebounds + Assists,0,SAS,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
VJ Edgecombe,o16.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o14.5 Points + Rebounds,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o3.5 Rebounds,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
VJ Edgecombe,o18.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Dylan Harper,o9.5 Points + Rebounds,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Julian Champagnie,o5.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Paul George,o11.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Julian Champagnie,o3.5 Rebounds,0,SAS,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Karl-Anthony Towns,o29.5 Pts + Reb + Ast,0,NYK,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
De'Aaron Fox,o13.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o15.5 Points + Rebounds,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Tyrese Maxey,o4.5 Assists,0,PHI,NY,0.16,0.16,0.16,0,5,1,Available,1,15,0.5,200
Karl-Anthony Towns,o14.5 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Luke Kornet,o7.5 Points + Rebounds,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Stephon Castle,o24.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Stephon Castle,o13.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Kelly Oubre Jr.,o3.5 Rebounds,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Paul George,o12.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Devin Vassell,o1.5 Assists,0,SAS,,0.16,0.16,0.16,0,5,1,Available,1,15,0.5,200
Joel Embiid,o29.5 Points + Rebounds,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o26.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Stephon Castle,o14.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o15.5 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o31.5 Pts + Reb + Ast,0,NYK,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Joel Embiid,o31.5 Points + Rebounds,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
De'Aaron Fox,o17.5 Points + Rebounds,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jaden McDaniels,o14.5 Points + Assists,0,MIN,SA,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
OG Anunoby,o1.5 Three Pointers,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
OG Anunoby,o4.5 Rebounds,0,NYK,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Karl-Anthony Towns,o3.5 Assists,0,NYK,,0.16,0.16,0.16,0,5,1,Available,1,15,0.5,200
Keldon Johnson,o5.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Anthony Edwards,o19.5 Points + Assists,0,MIN,SA,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Andre Drummond,o2.5 Rebounds,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
VJ Edgecombe,o1.5 Q1 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Anthony Edwards,o16.5 Points,0,MIN,SA,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o6.5 Rebounds + Assists,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Mikal Bridges,o1.5 Q1 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Luke Kornet,o3.5 Rebounds,0,SAS,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Jalen Brunson,o5.5 Q1 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Keldon Johnson,o6.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Tyrese Maxey,o21.5 Points,0,PHI,NY,0.64,0.64,0.64,0,33.5,1,Available,1,15,0.5,50
VJ Edgecombe,o9.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Tyrese Maxey,o28.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Andre Drummond,o3.5 Rebounds,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Paul George,o14.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jaden McDaniels,o1.5 Assists,0,MIN,SA,0.16,0.16,0.16,0,5,1,Available,1,15,0.5,200
Joel Embiid,o0.5 Blocks,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Karl-Anthony Towns,o0.5 Three Pointers,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dylan Harper,o9.5 Points + Assists,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dylan Harper,o6.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o9.5 Rebounds,0,NYK,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Julian Champagnie,o4.5 Rebounds + Assists,0,SAS,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
VJ Edgecombe,o13.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o19.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Julian Champagnie,o6.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Devin Vassell,o15.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o7.5 Rebounds + Assists,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Joel Embiid,o21.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Paul George,o19.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jordan Clarkson,o4.5 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Stephon Castle,o18.5 Points + Rebounds,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Luke Kornet,o9.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o14.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Anthony Edwards,o2.5 Assists,0,MIN,SA,0.16,0.16,0.16,0,5,1,Available,1,15,0.5,200
Dylan Harper,o7.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o0.5 Double Double,0,NYK,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Keldon Johnson,o4.5 Rebounds + Assists,0,SAS,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Stephon Castle,o25.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Stephon Castle,o20.5 Points + Assists,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Devin Vassell,o9.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Paul George,o20.5 Pts + Reb + Ast,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Paul George,o13.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Paul George,o15.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Jordan Clarkson,o5.5 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o27.5 Points + Rebounds,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Keldon Johnson,o3.5 Rebounds,0,SAS,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Dylan Harper,o1.5 Q1 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
De'Aaron Fox,o19.5 Points + Assists,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
VJ Edgecombe,o0.5 Steals,0,PHI,NY,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Stephon Castle,o21.5 Points + Assists,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Paul George,o17.5 Points + Rebounds,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dylan Harper,o2.5 Rebounds,0,SAS,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Devin Vassell,o16.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
OG Anunoby,o13.5 Points,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
OG Anunoby,o14.5 Points + Assists,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Stephon Castle,o26.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o4.5 Rebounds,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Joel Embiid,o22.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o23.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Paul George,o16.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
OG Anunoby,o18.5 Points + Rebounds,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Dylan Harper,o8.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
De'Aaron Fox,o20.5 Points + Assists,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Stephon Castle,o19.5 Points + Rebounds,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Stephon Castle,o22.5 Points + Assists,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Julius Randle,o5.5 Rebounds,0,MIN,SA,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Jaden McDaniels,o19.5 Pts + Reb + Ast,0,MIN,SA,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Joel Embiid,o24.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o28.5 Points + Assists,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Paul George,o14.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Quentin Grimes,o2.5 Rebounds,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Karl-Anthony Towns,o13.5 Rebounds + Assists,0,NYK,,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Keldon Johnson,o0.5 Three Pointers,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
OG Anunoby,o19.5 Points + Rebounds,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
De'Aaron Fox,o14.5 Points,0,SAS,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o25.5 Points,0,PHI,NY,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Stephon Castle,o27.5 Pts + Reb + Ast,0,SAS,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Karl-Anthony Towns,o32.5 Pts + Reb + Ast,0,NYK,,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Bones Hyland,o4.5 Points,0,MIN,SA,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Karl-Anthony Towns,o21.5 Points + Assists,0,NYK,,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
Joel Embiid,o10.5 Rebounds + Assists,0,PHI,NY,0.2,0.2,0.2,0,5,1,Available,1,15,0.5,160
Bones Hyland,o5.5 Points,0,MIN,SA,0.64,0.64,0.64,0,5,1,Available,1,15,0.5,50
