Name,Prop,Line,Team,Opponent,Per_Min_Avg,Per_Min_L5,Per_Min_L10,Variance,Confidence%,Samples,Injury_Status,Injury_Multiplier,Matchup_Rank,Matchup_Scalar,Expected_Minutes
Tyrese Maxey,o20.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Neemias Queta,o11.5 Points + Rebounds,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Neemias Queta,o12.5 Points + Rebounds,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Sam Hauser,o4.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Sam Hauser,o7.5 Points + Rebounds,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Neemias Queta,o1.5 Q1 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Joel Embiid,o33.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Joel Embiid,o35.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Joel Embiid,o34.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Baylor Scheierman,o2.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Nikola Vucevic,o4.5 Rebounds + Assists,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
VJ Edgecombe,o10.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
VJ Edgecombe,o7.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
VJ Edgecombe,o8.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Tyrese Maxey,o22.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Neemias Queta,o4.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
VJ Edgecombe,o11.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Tyrese Maxey,o26.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
VJ Edgecombe,o12.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
VJ Edgecombe,o13.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Payton Pritchard,o16.5 Pts + Reb + Ast,0,BOS,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o16.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o17.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
VJ Edgecombe,o18.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Payton Pritchard,o13.5 Points + Assists,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
VJ Edgecombe,o15.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Payton Pritchard,o14.5 Points + Assists,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Neemias Queta,o13.5 Points + Rebounds,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Kelly Oubre Jr.,o3.5 Rebounds,0,PHI,BOS,0.2,0.2,0.2,0,5,1,Available,1,1,0.9666666666666667,160
Sam Hauser,o8.5 Points + Rebounds,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Joel Embiid,o30.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Joel Embiid,o29.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Payton Pritchard,o11.5 Points,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Jayson Tatum,o25.5 Points + Assists,0,BOS,PHI,0.64,0.64,0.64,0,5,1,Available,1,27,0.1,50
Joel Embiid,o36.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Jaylen Brown,o0.5 Steals,0,BOS,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Nikola Vucevic,o9.5 Pts + Reb + Ast,0,BOS,PHI,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Nikola Vucevic,o3.5 Rebounds,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
Tyrese Maxey,o21.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Payton Pritchard,o6.5 Rebounds + Assists,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
Payton Pritchard,o2.5 Rebounds,0,BOS,PHI,0.2,0.2,0.2,0,5,1,Available,1,27,0.1,160
Paul George,o11.5 Points,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
Kelly Oubre Jr.,o11.5 Points + Rebounds,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
VJ Edgecombe,o13.5 Points + Assists,0,PHI,BOS,0.64,0.64,0.64,0,5,1,Available,1,1,0.9666666666666667,50
VJ Edgecombe,o19.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
Paul George,o19.5 Pts + Reb + Ast,0,PHI,BOS,NaN,NaN,NaN,NaN,5,1,Available,1,15,0.5,32
